date,pblh_mean,pblh_min,pblh_max,pblh_night,pblh_range,t850_mean,slp_mean,tqv_mean,inversion_strength,inversion_strength_max,ventilation_index,ventilation_index_min,t850_max
2023-07-14,520.30566,65.024254,1433.6395,706.28754,1368.6152,25.661844,1009.1926,14.565606,0.99027425354004,-2.3835444492187534,917.1351455497071,114.61729639642869,29.86554
2023-07-15,725.17804,150.48592,1533.0507,908.1463,1382.5647,30.441,1008.0214,17.941809,4.606587984741211,-0.7984006308593763,1530.4286428370729,317.58815606629946,31.102203
2023-07-16,650.6047,116.85086,1222.6748,880.5902,1105.824,30.343542,1008.5872,29.299614,4.528389098999025,-0.8740843535156237,1200.6885210158753,215.6478308811859,30.661713
2023-07-17,483.91245,65.26676,1038.5631,625.3388,973.2963,27.595438,1009.9868,33.911892,2.54550200354004,-0.45425388671874956,1082.6626363883363,146.0220440642929,29.944641
2023-07-18,496.57187,65.384384,1219.31,625.65894,1153.9257,25.466873,1011.11554,31.54273,-0.3162598310546869,-4.414916621093749,1136.222778036841,149.60820630098877,26.603088
2023-07-19,526.7808,72.60312,1228.1914,667.569,1155.5883,24.931921,1012.3631,31.699213,-0.5683989947509751,-4.841431046875002,1360.18754023421,187.466690964328,26.661377
2023-07-20,511.66748,65.447975,1214.0676,666.471,1148.6196,26.704292,1011.77216,22.825377,0.2807602973632797,-3.489196830078125,1094.6181206459962,140.01386115580598,28.5029
2023-07-21,528.28906,65.65746,1308.3444,670.37555,1242.6869,28.21579,1010.02875,16.549871,1.9231247949218755,-2.2327882812499986,1085.6602794039063,134.92934979243088,29.218262
2023-07-22,509.4965,65.6231,1336.6345,674.6901,1271.0115,29.340792,1008.6385,17.00126,3.854036702270509,-0.7255247226562496,1010.5859831662414,130.1633800330307,29.93451
2023-07-23,760.7723,313.9718,1240.1416,920.0107,926.1698,28.601313,1009.2122,23.592516,3.095889637329101,-0.5822147187499986,1816.633135021234,749.7270801729858,30.156738
2023-07-24,747.5699,229.59253,1327.3273,953.003,1097.7347,26.052042,1012.6392,28.287165,0.6070040074462888,-3.8529661347656265,1477.759293974579,453.84719300236816,27.559662
2023-07-25,619.39813,65.71015,1385.8367,763.29706,1320.1265,27.267572,1012.40625,21.733109,0.7298424029541017,-4.051270791015625,1255.9926769359681,133.24462085662157,28.28769
2023-07-26,560.0529,65.53725,1336.1654,743.50275,1270.6282,26.863302,1011.2094,25.353289,-0.14312776916504077,-4.820312921875001,1147.4436980219116,134.27356303157043,28.16333
2023-07-27,581.7135,65.51935,1436.8121,738.0719,1371.2927,27.576044,1010.384,20.85551,0.7800640826416014,-3.825196650390623,1226.829294365613,138.1798007378357,29.194183
2023-07-28,665.30786,92.556694,1420.6423,857.35846,1328.0857,27.809298,1010.17255,23.129105,1.580177561645506,-3.287109441406251,1427.845144126465,198.63980844056704,28.934998
2023-07-29,602.8847,105.12173,1524.2612,812.6027,1419.1395,27.84651,1011.272,26.87294,2.0209999334716784,-3.533874203125002,1155.8770825666504,201.54400034072876,29.131592
2023-07-30,682.444,73.815155,1477.0376,839.6713,1403.2224,27.990591,1010.1282,29.899836,1.3193630491943367,-2.639708583984376,1425.084274690796,154.14132343826296,29.081451
2023-07-31,658.4307,65.329865,1612.8357,867.8561,1547.5059,25.615639,1011.2756,30.966583,-0.8651292670898449,-4.129516697265622,1235.2702949749512,122.56420898649903,27.88681
2023-08-01,624.9687,70.2279,1464.2515,852.1197,1394.0236,22.98026,1013.14966,32.22862,-2.2443241510009777,-5.270203525390624,1382.6129183630676,155.3645810207863,24.477386
2023-08-02,548.2647,80.575134,1234.0946,698.0189,1153.5195,23.1285,1013.3571,24.19954,-1.3038520152587907,-5.588929091796874,1432.4764266158447,210.5223597825928,23.94168
2023-08-03,575.0262,113.091255,1385.5798,724.4317,1272.4885,21.615402,1012.91974,9.368273,-1.277158778320313,-6.302123619140627,1457.9461132474976,286.73643132759855,23.11264
2023-08-04,609.61597,98.14658,1478.8915,780.6267,1380.7449,21.965673,1011.3601,10.072299,-0.8229215533447274,-4.84292560546875,1317.9191876474854,212.18155809079514,25.44513
2023-08-05,621.98096,182.15169,1322.1831,823.11346,1140.0314,25.774271,1009.12036,10.511359,1.71896401135254,-3.9112550546875013,1498.6715127097168,438.89695037316136,27.732544
2023-08-06,594.35034,101.29735,1400.5415,767.99744,1299.2441,25.827347,1010.05743,8.808861,0.8030108017578108,-4.674072443359378,1100.2595102483153,187.52133663740082,27.612946
2023-08-07,476.6578,104.07411,1119.9244,597.0712,1015.85034,24.494278,1012.95135,8.431533,0.5630089541015622,-3.1548458046875005,1203.1770132880708,262.70330094748687,26.67395
2023-08-08,491.7462,120.39457,1118.144,599.7946,997.74945,21.288265,1013.82794,18.727411,-1.1506597717285167,-5.486266994140625,1593.8099696961915,390.2136320265381,23.263031
2023-08-09,541.24396,156.01628,1208.0181,658.27264,1052.0018,19.92432,1012.21747,38.14053,-2.4938777790527347,-7.339782228515624,1573.7845270487976,453.6512709206009,20.601166
2023-08-10,681.0304,186.70998,1498.3716,786.7636,1311.6616,18.40564,1011.8802,38.116104,-3.5033323515624986,-6.843841546875002,1840.399310751306,504.5603159104538,19.76294
2023-08-11,774.87274,261.69275,1505.2993,915.5428,1243.6066,17.18799,1012.47797,32.687122,-4.830219811401367,-7.218170419921876,1738.3405202042238,587.0784775232911,20.00882
2023-08-12,721.5449,152.90604,1419.683,855.4412,1266.777,19.700006,1013.42725,23.477936,-3.1623535150146473,-6.912933830078124,1592.6942463066407,337.51545743026736,21.799774
2023-08-13,1162.2664,578.7727,1757.0009,1287.9791,1178.2281,22.439844,1012.2,21.97193,-1.050481868530273,-4.372375955078127,2452.116668750757,1221.0782739062745,24.735321
2023-08-14,1219.6075,474.25256,1764.0005,1252.4237,1289.7479,24.409723,1011.499,25.16136,0.6318912818603515,-4.359985787109373,2355.7729546350097,916.0580944672363,25.541168
2023-08-15,979.7585,612.69806,1654.2806,1088.3612,1041.5825,25.30355,1012.33954,22.713057,0.23854672021484546,-3.955383601562499,2089.7399990456665,1306.8319003700562,27.307983
2023-08-16,862.20966,368.14197,1768.7502,1047.4979,1400.6083,26.234488,1011.5983,26.567177,-0.031206466430663937,-4.962462974609373,1718.8692679692992,733.9142057003173,27.264801
2023-08-17,1713.3546,977.39386,2114.861,1763.4435,1137.4673,26.436716,1009.0385,18.218098,-0.015132920288085216,-4.745819253906252,4347.070555972803,2479.8135975142336,27.03949
2023-08-18,710.7327,89.125175,1440.4668,900.1168,1351.3417,24.609465,1008.8411,14.6853485,0.303953645385743,-3.348572236328124,1696.5689129076538,212.7480504487076,26.734833
2023-08-19,660.2852,94.8923,1299.622,756.6951,1204.7296,21.981384,1008.62775,21.592432,-1.0068607226562492,-3.542328376953126,1582.9967004119508,227.49896461419067,24.812714
2023-08-20,513.86224,101.3731,1345.536,698.94434,1244.163,17.897303,1004.6189,47.307087,-4.834072372436523,-5.553618759765627,1696.1801315108642,334.61699256935117,19.065521
2023-08-21,782.18085,363.09195,1507.2638,869.8643,1144.1719,14.520886,1009.2414,34.472897,-6.1031965787963856,-6.01666173828125,3919.5799511423766,1819.4870542903107,18.779968
2023-08-22,687.13605,71.0221,1532.603,809.97943,1461.5809,17.06407,1013.36505,22.724182,-4.559612252075194,-7.117186982421874,1306.9267152877442,135.08341368652955,20.382843
2023-08-23,715.5452,109.16692,1483.8785,832.87836,1374.7117,21.117323,1011.0811,17.982399,-2.181576078247069,-6.014282060546876,1488.1148292080568,227.03375218236695,23.328888
2023-08-24,693.5317,123.34054,1180.4092,838.7705,1057.0686,22.055838,1011.11395,22.149817,-0.5982553687744137,-4.221497167968749,1684.450292520654,299.5695974273132,23.194153
2023-08-25,723.16425,316.2889,1258.5265,868.4127,942.23755,22.31665,1011.6604,14.017143,-0.16377260937499827,-4.018279992187502,1504.3246727471558,657.9434945635682,25.085083
2023-08-26,681.6687,219.5395,1229.6274,690.0298,1010.08795,23.394815,1011.4597,9.250031,0.28123644494628763,-4.831359748046875,1549.9510259765623,499.1801448999023,25.075958
2023-08-27,931.8986,285.8942,1689.5532,1077.93,1403.659,25.75946,1010.9842,12.806427,0.3507234492187514,-5.063995583984372,2119.7636991298828,650.3155215952148,27.112701
2023-08-28,1161.8359,169.50952,1743.4038,1442.139,1573.8943,26.902311,1009.3304,15.238926,0.34937332507324115,-5.4068299433593765,3028.5484435937497,441.8591135771484,28.323883
2023-08-29,710.1503,250.87909,1423.4386,850.30914,1172.5596,27.628815,1008.33673,13.302249,0.45789469726562615,-4.4547102246093715,1489.1204754398439,526.0705702054687,29.08902
2023-08-30,608.9277,110.65295,1104.5776,744.2927,993.9247,28.200338,1007.4505,13.636949,1.731710363647462,-2.9464108652343732,1334.3543539660216,242.4758265533821,29.049713
2023-08-31,353.02512,70.338875,943.4622,452.11795,873.12335,26.255735,1006.84894,19.888695,2.270118397338866,-1.8893124843750009,912.9180075385133,181.89534553224183,27.240479
2023-09-01,442.07938,121.78163,1098.741,518.60626,976.95935,21.4496,1008.1901,29.468462,0.13440921972656383,-1.1435240917968734,1565.7944882772156,431.33658249080503,24.59793
2023-09-02,651.1503,293.96814,1145.7319,703.1611,851.7638,15.8796425,1012.8281,34.801895,-5.0824295134277335,-7.692687919921877,2622.048500750537,1183.749258514746,17.251007
2023-09-03,619.71564,111.94687,1278.4847,671.8896,1166.5378,14.732932,1014.5793,21.827133,-5.8071239092407225,-8.023254261718751,1723.327057935742,311.3057935571289,16.438782
2023-09-04,733.95026,189.26375,1684.1805,909.56036,1494.9167,14.03109,1012.1636,19.519987,-5.986694217285155,-8.414306154296874,1909.950678640686,492.5189699588165,17.886017
2023-09-05,666.7718,146.19235,1421.262,798.33453,1275.0696,17.891447,1010.18634,20.352766,-2.6685409327392584,-6.571410921875,1371.8874910489014,300.7917589547974,19.178955
2023-09-06,718.7497,372.86816,1213.7621,776.398,840.8939,18.791912,1011.73047,15.564346,-1.7025049211425767,-5.093017142578127,1414.6879274590149,733.9023501944336,21.755829
2023-09-07,486.82132,164.67465,1053.0084,587.116,888.33374,21.996819,1011.7575,13.3447485,0.6060195424804675,-4.939818603515626,989.940589343454,334.8623316046051,22.798431
2023-09-08,481.6399,70.390884,1240.9813,618.55597,1170.5905,22.76753,1013.008,23.01816,-1.2583885587158186,-7.243529736328124,814.0547421584472,118.97277225801086,23.63327
2023-09-09,509.2424,65.61094,1381.9115,655.81635,1316.3005,23.424425,1013.55206,34.428215,-2.3323098748779287,-6.5119020488281265,1458.694659942581,187.9386441109459,24.933075
2023-09-10,760.8361,156.27144,1671.9077,924.8111,1515.6362,23.685156,1011.89716,39.164326,-2.2045021314697273,-5.7964476953125015,2226.3670253130495,457.2832026131439,25.005737
2023-09-11,838.25903,289.63483,1496.0093,871.73083,1206.3745,22.552368,1010.972,35.69171,-2.7842158359374984,-6.199767777343752,1583.0060799572752,546.9594402322388,23.495178
