date,daily_aqi,n_monitor_readings,n_sites,pollutants_used,dominant_pollutant,dominant_site
2016-11-04,71,24,16,"Ozone,PM2.5",PM2.5,Long Beach-Route 710 Near Road
2016-11-05,80,30,17,"Ozone,PM2.5",PM2.5,Los Angeles-North Main Street
2016-11-06,83,23,16,"Ozone,PM2.5",PM2.5,Los Angeles-North Main Street
2016-11-07,84,23,16,"Ozone,PM2.5",PM2.5,Los Angeles-North Main Street
2016-11-08,75,29,17,"Ozone,PM2.5",PM2.5,Long Beach-Route 710 Near Road
2016-11-09,63,22,16,"Ozone,PM2.5",PM2.5,Long Beach-Route 710 Near Road
2016-11-10,62,21,15,"Ozone,PM2.5",PM2.5,Long Beach-Route 710 Near Road
2016-11-11,66,30,17,"Ozone,PM2.5",PM2.5,Long Beach-Route 710 Near Road
2016-11-12,70,24,16,"Ozone,PM2.5",PM2.5,Long Beach-Route 710 Near Road
2016-11-13,74,24,16,"Ozone,PM2.5",Ozone,West Los Angeles
2016-11-14,72,32,17,"Ozone,PM2.5",PM2.5,Long Beach-Route 710 Near Road
2016-11-15,87,23,16,"Ozone,PM2.5",PM2.5,Long Beach-Route 710 Near Road
2016-11-16,77,24,16,"Ozone,PM2.5",PM2.5,Los Angeles-North Main Street
2016-11-17,68,29,16,"Ozone,PM2.5",PM2.5,Long Beach-Route 710 Near Road
2016-11-18,57,21,15,"Ozone,PM2.5",PM2.5,Reseda
2016-11-19,72,24,16,"Ozone,PM2.5",PM2.5,Reseda
2016-11-20,66,31,16,"Ozone,PM2.5",PM2.5,Long Beach-Route 710 Near Road
2016-11-21,57,23,16,"Ozone,PM2.5",PM2.5,Long Beach-Route 710 Near Road
2016-11-22,59,22,16,"Ozone,PM2.5",PM2.5,Long Beach-Route 710 Near Road
2016-11-23,74,29,16,"Ozone,PM2.5",PM2.5,Long Beach-Route 710 Near Road
2016-11-24,68,24,16,"Ozone,PM2.5",PM2.5,Long Beach (South)
2016-11-25,82,24,16,"Ozone,PM2.5",PM2.5,Reseda
2016-11-26,88,31,16,"Ozone,PM2.5",PM2.5,Long Beach-Route 710 Near Road
2016-11-27,56,24,16,"Ozone,PM2.5",PM2.5,Los Angeles-North Main Street
