date,daily_aqi,n_monitor_readings,n_sites,pollutants_used,dominant_pollutant,dominant_site
2016-05-28,108.0,51,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Lancaster-Division Street
2016-05-29,90.0,51,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Lancaster-Division Street
2016-05-30,101.0,58,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Lancaster-Division Street
2016-05-31,100.0,50,15,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Lancaster-Division Street
2016-06-01,100.0,50,15,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Santa Clarita
2016-06-02,190.0,60,17,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Santa Clarita
2016-06-03,166.0,54,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Santa Clarita
2016-06-04,209.0,51,15,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Glendora
2016-06-05,140.0,63,17,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Santa Clarita
2016-06-06,108.0,54,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Lancaster-Division Street
2016-06-07,84.0,54,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Lancaster-Division Street
2016-06-08,164.0,59,17,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Santa Clarita
2016-06-09,133.0,53,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Lancaster-Division Street
2016-06-10,105.0,52,15,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Lancaster-Division Street
2016-06-11,59.0,62,17,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Lancaster-Division Street
2016-06-12,53.0,54,16,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Lancaster-Division Street
2016-06-13,61.0,54,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Lancaster-Division Street
2016-06-14,97.0,60,17,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Lancaster-Division Street
2016-06-15,71.0,54,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Lancaster-Division Street
2016-06-16,97.0,51,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Lancaster-Division Street
2016-06-17,169.0,61,17,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Santa Clarita
2016-06-18,119.0,55,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Azusa
2016-06-19,143.0,55,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Glendora
2016-06-20,126.0,61,17,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Glendora
2016-06-21,126.0,53,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Lancaster-Division Street
2016-06-22,119.0,53,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Lancaster-Division Street
2016-06-23,151.0,62,17,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Santa Clarita
2016-06-24,122.0,54,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Santa Clarita
2016-06-25,187.0,55,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Santa Clarita
2016-06-26,195.0,61,17,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Glendora
2016-06-27,177.0,55,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Santa Clarita
2016-06-28,133.0,47,14,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Glendora
2016-06-29,210.0,55,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Santa Clarita
2016-06-30,166.0,56,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Santa Clarita
2016-07-01,105.0,55,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Santa Clarita
2016-07-02,122.0,61,17,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Lancaster-Division Street
2016-07-03,84.0,55,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Glendora
2016-07-04,90.0,55,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Lancaster-Division Street
2016-07-05,129.0,64,17,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Lancaster-Division Street
2016-07-06,136.0,51,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Lancaster-Division Street
2016-07-07,126.0,55,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Lancaster-Division Street
2016-07-08,126.0,57,17,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Santa Clarita
2016-07-09,133.0,55,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Glendora
2016-07-10,87.0,55,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Azusa
2016-07-11,108.0,64,17,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Lancaster-Division Street
2016-07-12,133.0,52,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Santa Clarita
2016-07-13,156.0,50,15,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Santa Clarita
2016-07-14,156.0,58,17,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Glendora
2016-07-15,126.0,52,15,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Santa Clarita
2016-07-16,143.0,55,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Lancaster-Division Street
2016-07-17,133.0,64,17,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Lancaster-Division Street
2016-07-18,115.0,52,15,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Lancaster-Division Street
2016-07-19,115.0,54,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Glendora
2016-07-20,105.0,61,17,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Glendora
2016-07-21,105.0,55,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Santa Clarita
2016-07-22,169.0,55,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Glendora
2016-07-23,226.0,64,17,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Lebec
2016-07-24,158.0,54,16,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Lancaster-Division Street
2016-07-25,134.0,54,16,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Lancaster-Division Street
2016-07-26,133.0,59,17,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Santa Clarita
2016-07-27,112.0,53,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Lancaster-Division Street
2016-07-28,172.0,48,15,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Santa Clarita
