date,daily_aqi,n_monitor_readings,n_sites,pollutants_used,dominant_pollutant,dominant_site
2016-06-04,209.0,45,15,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Glendora
2016-06-05,140.0,53,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Santa Clarita
2016-06-06,108.0,48,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Lancaster-Division Street
2016-06-07,84.0,48,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Lancaster-Division Street
2016-06-08,164.0,52,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Santa Clarita
2016-06-09,133.0,47,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Lancaster-Division Street
2016-06-10,105.0,45,15,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Lancaster-Division Street
2016-06-11,59.0,52,16,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Lancaster-Division Street
2016-06-12,53.0,48,16,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Lancaster-Division Street
2016-06-13,61.0,48,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Lancaster-Division Street
2016-06-14,97.0,53,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Lancaster-Division Street
2016-06-15,71.0,48,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Lancaster-Division Street
2016-06-16,97.0,45,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Lancaster-Division Street
2016-06-17,169.0,51,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Santa Clarita
2016-06-18,119.0,48,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Azusa
2016-06-19,143.0,48,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Glendora
2016-06-20,126.0,53,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Glendora
2016-06-21,126.0,46,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Lancaster-Division Street
2016-06-22,119.0,46,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Lancaster-Division Street
